,nmId,text,rating,mood
0,165494627,"Вообщем комод за такую цену норм , всех деталей хватило, правда не поняли куда цеплять деталь на последнем фото. Пришлось просверлить отверстия для вращающихся деталей и для ручек, причём  при сверлении ручек из внутри с фасада облупливается отверстия и получается не очень опрятно.сама фурнитура самая дешевая.",5,2
1,165494625,"Комод просто замечательный,очень легко и  удобно раскладывать и складывать пеленальное место...Отличное превращение комода в пеленальный столик и обратно)))Этим можно любоваться бесконечно)Когда данный комод выполнит  функцию пеленального стола,то переместится в прихожую для хранения вещей,кофры под него уже куплены и ждут своего часа...",5,2
2,165494800,"К сожалению разочарование. Во первых не положили ножки к комоду и из-этого двери постоянно царапаются об пол. На фото прикрепила, отправили деталь которая должна быть с правой стороны 2шт одинаковые. В других деталях тоже нет дырок. Если закажете будьте готовы к тому , что что-то не должат и неправильно сделают сборку деталей",1,0
3,165494626,"За свои деньги хороший товар. Собрали быстро, в паре мест пришлось правда до сверлить отверстия, не на сквозь были. Немного зазоры не сходятся, но это не критично. В целом аккуратно, компактно. То что нужно было. Имейте ввиду, что при разложенном столике, доступа в выдвижной ящик не будет. Он выкатывается под столом просто.",5,2
4,165494625,"Комод хороший мне понравился , пришёл целый , хорошо упакованный . Фурнитура вроде вся есть , единственный минус это пласмасовые ручки и не сделали отверстие на крепёж пеленального столика, супругу пришлось делать самому, но за это звезды снимать не буду. В целом все отлично покупкой довольна .",5,2
5,165494625,"Присутствует посторонний запах, без брака,  матрац заказывала отдельно.",5,2
6,165494627,"Хороший комод за эти деньги. Собирать немного муторно, но все понятно. Всех деталей и дырок хватило.",5,2
7,165494801,"Нам с мужем понравился, не громоздкий, легко собирается, пошаговая инструкция в помощь, все дырки были на месте, сколов нет.",5,2
8,165494625,Упаковано отлично. Всё целое пришло. Очень радует. Спасибо.,5,2
9,165494802,"Хороший добротный комод для пеленания. Единственный минус, отношение грузчиков компании Вайлдберрис к товару. На первом фото  видны сильные повреждения упаковки, но товар мы все же выкупили и не пожалели. Уважаемые сотрудники Вайлдберрис!!! Относитесь, пожалуйста, к товарам аккуратнее! 
К комоду притензий нет. Собрали все легко, инструкция понятная. Делали два доп отверстия в откидной части, но это все и по инструкции указано.  От комода очень приятный натуральный запах древесины, что очень порадовало. Спасибо за товар!",5,2
