,text,rating,mood,lemmatized_review
0,"Вообщем комод за такую цену норм , всех деталей хватило, правда не поняли куда цеплять деталь на последнем фото. Пришлось просверлить отверстия для вращающихся деталей и для ручек, причём  при сверлении ручек из внутри с фасада облупливается отверстия и получается не очень опрятно.сама фурнитура самая дешевая.",5,positive,"вообщий комод за такой цена норма , весь деталь хватить, правда не понимать куда цеплять деталь на последний фото. приходиться просверливать отверстие для вращаться деталь и для ручка, причем  при сверление ручка из внутри с фасад облупливаться отверстие и получаться не очень опрятно.сам фурнитура самый дешевый.
"
1,"Комод просто замечательный,очень легко и  удобно раскладывать и складывать пеленальное место...Отличное превращение комода в пеленальный столик и обратно)))Этим можно любоваться бесконечно)Когда данный комод выполнит  функцию пеленального стола,то переместится в прихожую для хранения вещей,кофры под него уже куплены и ждут своего часа...",5,positive,"комод просто замечательный,очень легко и  удобно раскладывать и складывать пеленальный место...отличный превращение комод в пеленальный столик и обратно)))это можно любоваться бесконечно)когда данный комод выполнять  функция пеленальный стол,то перемещаться в прихожая для хранение вещь,кофр под он уже купить и ждать свой час...
"
2,"К сожалению разочарование. Во первых не положили ножки к комоду и из-этого двери постоянно царапаются об пол. На фото прикрепила, отправили деталь которая должна быть с правой стороны 2шт одинаковые. В других деталях тоже нет дырок. Если закажете будьте готовы к тому , что что-то не должат и неправильно сделают сборку деталей",1,negative,"к сожаление разочарование. во первый не полагать ножка к комод и из-этот дверь постоянно царапаться об пол. на фото прикреплять, отправлять деталь который должный быть с правый сторона 2шт одинаковый. в другой деталь тоже нет дырка. если заказывать быть готовый к то , что что-то не должать и неправильно сделать сборка деталь
"
3,"За свои деньги хороший товар. Собрали быстро, в паре мест пришлось правда до сверлить отверстия, не на сквозь были. Немного зазоры не сходятся, но это не критично. В целом аккуратно, компактно. То что нужно было. Имейте ввиду, что при разложенном столике, доступа в выдвижной ящик не будет. Он выкатывается под столом просто.",5,positive,"за свой деньги хороший товар. собирать быстро, в пара место приходиться правда до сверлить отверстие, не на сквозь быть. немного зазор не сходиться, но это не критично. в целое аккуратно, компактно. то что нужно быть. иметь ввиду, что при раскладывать столик, доступ в выдвижной ящик не быть. он выкатываться под стол просто.
"
4,"Комод хороший мне понравился , пришёл целый , хорошо упакованный . Фурнитура вроде вся есть , единственный минус это пласмасовые ручки и не сделали отверстие на крепёж пеленального столика, супругу пришлось делать самому, но за это звезды снимать не буду. В целом все отлично покупкой довольна .",5,positive,"комод хороший я понравиться , приходить целый , хорошо упаковывать . фурнитура вроде весь быть , единственный минус это пласмасовой ручка и не сделать отверстие на крепеж пеленальный столик, супруга приходиться делать сам, но за это звезда снимать не быть. в целое все отлично покупка довольный .
"
5,"Присутствует посторонний запах, без брака,  матрац заказывала отдельно.",5,positive,"присутствовать посторонний запах, без брак,  матрац заказывать отдельно.
"
6,"Хороший комод за эти деньги. Собирать немного муторно, но все понятно. Всех деталей и дырок хватило.",5,positive,"хороший комод за этот деньги. собирать немного муторно, но все понятно. весь деталь и дырка хватить.
"
7,"Нам с мужем понравился, не громоздкий, легко собирается, пошаговая инструкция в помощь, все дырки были на месте, сколов нет.",5,positive,"мы с муж понравиться, не громоздкий, легко собираться, пошаговый инструкция в помощь, весь дырка быть на место, скол нет.
"
8,Упаковано отлично. Всё целое пришло. Очень радует. Спасибо.,5,positive,"упаковывать отлично. весь целое приходить. очень радовать. спасибо.
"
9,"Хороший добротный комод для пеленания. Единственный минус, отношение грузчиков компании Вайлдберрис к товару. На первом фото  видны сильные повреждения упаковки, но товар мы все же выкупили и не пожалели. Уважаемые сотрудники Вайлдберрис!!! Относитесь, пожалуйста, к товарам аккуратнее! 
К комоду притензий нет. Собрали все легко, инструкция понятная. Делали два доп отверстия в откидной части, но это все и по инструкции указано.  От комода очень приятный натуральный запах древесины, что очень порадовало. Спасибо за товар!",5,positive,"хороший добротный комод для пеленание. единственный минус, отношение грузчик компания вайлдберрис к товар. на первый фото  видный сильный повреждение упаковка, но товар мы весь же выкупать и не пожалеть. уважаемый сотрудник вайлдберрис!!! относиться, пожалуйста, к товар аккуратно! 
к комод притензия нет. собирать все легко, инструкция понятный. делать два допы отверстие в откидной часть, но это все и по инструкция указывать.  от комод очень приятный натуральный запах древесина, что очень порадовать. спасибо за товар!
"
